Beta (v/c)	 Gamma 
0.1044		 1.00549 
0.1045		 1.00551 
0.1046		 1.00552 
0.1047		 1.00553 
0.1048		 1.00554 
0.1049		 1.00555 
0.105		 1.00556 
0.1051		 1.00557 
0.1052		 1.00558 
0.1053		 1.00559 
0.1054		 1.0056 
0.1055		 1.00561 
0.1056		 1.00562 
0.1057		 1.00563 
0.1058		 1.00564 
0.1059		 1.00566 
0.106		 1.00567 
0.1061		 1.00568 
0.1062		 1.00569 
0.1063		 1.0057 
0.1064		 1.00571 
0.1065		 1.00572 
0.1066		 1.00573 
0.1067		 1.00574 
0.1068		 1.00575 
0.1069		 1.00576 
0.107		 1.00577 
0.1071		 1.00579 
0.1072		 1.0058 
0.1073		 1.00581 
0.1074		 1.00582 
0.1075		 1.00583 
0.1076		 1.00584 
0.1077		 1.00585 
0.1078		 1.00586 
0.1079		 1.00587 
0.108		 1.00588 
0.1081		 1.00589 
0.1082		 1.00591 
0.1083		 1.00592 
0.1084		 1.00593 
0.1085		 1.00594 
0.1086		 1.00595 
0.1087		 1.00596 
0.1088		 1.00597 
0.1089		 1.00598 
0.109		 1.00599 
0.1091		 1.00601 
0.1092		 1.00602 
0.1093		 1.00603 
0.1094		 1.00604 
0.1095		 1.00605 
0.1096		 1.00606 
0.1097		 1.00607 
0.1098		 1.00608 
0.1099		 1.00609 
0.11		 1.00611 
0.1101		 1.00612 
0.1102		 1.00613 
0.1103		 1.00614 
0.1104		 1.00615 
0.1105		 1.00616 
0.1106		 1.00617 
0.1107		 1.00618 
0.1108		 1.0062 
0.1109		 1.00621 
0.111		 1.00622 
0.1111		 1.00623 
0.1112		 1.00624 
0.1113		 1.00625 
0.1114		 1.00626 
0.1115		 1.00627 
0.1116		 1.00629 
0.1117		 1.0063 
0.1118		 1.00631 
0.1119		 1.00632 
0.112		 1.00633 
0.1121		 1.00634 
0.1122		 1.00635 
0.1123		 1.00637 
0.1124		 1.00638 
0.1125		 1.00639 
0.1126		 1.0064 
0.1127		 1.00641 
0.1128		 1.00642 
0.1129		 1.00643 
0.113		 1.00645 
0.1131		 1.00646 
0.1132		 1.00647 
0.1133		 1.00648 
0.1134		 1.00649 
0.1135		 1.0065 
0.1136		 1.00652 
0.1137		 1.00653 
0.1138		 1.00654 
0.1139		 1.00655 
0.114		 1.00656 
0.1141		 1.00657 
0.1142		 1.00659 
0.1143		 1.0066 
0.1144		 1.00661 
0.1145		 1.00662 
0.1146		 1.00663 
0.1147		 1.00664 
0.1148		 1.00666 
0.1149		 1.00667 
0.115		 1.00668 
0.1151		 1.00669 
0.1152		 1.0067 
0.1153		 1.00671 
0.1154		 1.00673 
0.1155		 1.00674 
0.1156		 1.00675 
0.1157		 1.00676 
0.1158		 1.00677 
0.1159		 1.00678 
0.116		 1.0068 
0.1161		 1.00681 
0.1162		 1.00682 
0.1163		 1.00683 
0.1164		 1.00684 
0.1165		 1.00686 
0.1166		 1.00687 
0.1167		 1.00688 
0.1168		 1.00689 
0.1169		 1.0069 
0.117		 1.00692 
0.1171		 1.00693 
0.1172		 1.00694 
0.1173		 1.00695 
0.1174		 1.00696 
0.1175		 1.00698 
0.1176		 1.00699 
